NUM,TWEET,CLASS
1.49E+18,"@disclosetv Poppycock. Nothing to see here. Meanwhile, Russia is deploying the biggest Russian force since WW2",DY
1.49E+18,"In a bid to continue the attacks, @AbiyAhmedAli has effectively isolated Tigray, making it increasingly difficult for aid agencies to deliver humanitarian assistance, resulting in widespread starvation related deaths #TigrayGenocide @tariqahmadbt @vickyford @UNICEF @UN_HRC @UNDP",DY
1.49E+18,BREAKING NEWS\n\nPUTIN PREPARING TO INSTALL PRO-RUSSIAN LEADERSHIP IN UKRAINE ACCORDING TO BRITISH INTELLIGENCE,DY
1.49E+18,"Der Chef der Deutschen Marine, Kay-Achim Schönbach, hat Irritationen hervorgerufen, weil er bei einem Auftritt Verständnis für Wladimir #Putin äußerte. Die #Ukraine hat deswegen nun die deutsche Botschafterin in Kiew einbestellt. https://t.co/OnvTAanXRy",AX
1.49E+18,Quanto Vegas tá pagando pra quem apostar na Rússia tomando um pau?,AX
1.49E+18,Hope these planes in Ukraine have better wheel wells for hold onto.,DY
1.49E+18,So they fired their Navy Chief for telling them the truth. \nRussia is not a threat to the West. \nChina is. https://t.co/IogjU0cqPX,AX
1.49E+18,"LeBron se convirtió hoy en el cuarto jugador en la historia de esta franquicia en encadenar 16 partidos anotando +25 puntos.\n\nLos otros: Kobe Bean, Shaq Attack y Elgin Baylor.\n\n#LeBronJames #NBAAllStar https://t.co/7Odwu7Qd2e",AX
1.49E+18,LONDON (AP) — British government accuses Russia of seeking to replace Ukraine’s government with a pro-Moscow administration.,DY
1.49E+18,"All done while @GOP , #45 and so many groups sabotaged actions at every turn rather than work towards a common goal. \nBiden never sent 1,000s of racist Patriots to attack DC. If he had lost? He may question but he would conceded with grace and good sportsmanship.",AX
1.49E+18,"United States is creating this crisis by encouraging Ukraine's membership in NATO and also by moving missile batteries and weapons into Ukraine, political analyst Sara Flounders says. https://t.co/HHRU7MK8UQ",DY
1.49E+18,Russia aims to replace Ukraine government with Kremlin-friendly regime: U.K. https://t.co/SkWCUOCREg,DY
1.49E+18,O São Paulo amassando os caras e o imbecil invade o campo com uma faca e esfria o jogo,AX
1.49E+18,What is Joe Biden’s plan to stop Russia from invading Ukraine?,DY
1.49E+18,O CARA INVADE O GRAMADO COM UMA FACA! UMA FACA!\n\nISSO É COISA DE BANDIDO! TEM QUE SAIR DAÍ DIRETO PARA A PRISÃO!,AX
1.49E+18,"I think we should start paying far more attention to what is happening in Ukraine than to what Tucker Carlson thinks of green M&amp;Ms. This is damn serious folks. Hope this is not a repeat of September 1, 1939. https://t.co/8PaMpsqrr7",DY
1.49E+18,Quando Biden transformar a fronteira Rússia-Ucrânia novamente num barril de pólvora lembrarei de todo o fã-clube brazuca dele nessas eleições.,AX
1.49E+18,THERE SHOULD BE NO AMERICAN INVOLVEMENT IN UKRAINE,PY
1.49E+18,Kremlin plan to install pro-Russian leadership in Ukraine exposed https://t.co/bezb1sItHX,DY
1.49E+18,Interesting comments on Ukraine and its implications for the South Caucasus. One thing I would add that concerns me going into the next several weeks is how Russia and Turkey view the two conflicts and whether they see them as alternate levers in their competition. During the https://t.co/k2ej5NzQGA,UC
1.49E+18,@Borscht4TheSoul Ukraine has blue on their flag🇺🇦,AX
1.49E+18,"#L6Ndificultades Yo con Putin, siempre.",AX
1.49E+18,"die Gasspeicher in Deutschland sind leer... und die Preise steigen weiter:\n\nPutin spricht Klartext und klärt auf: Es ist der korrupten Politik der kriminellen Regierungen in Europa, dass die Gaskrise existiert.🔥 https://t.co/tG2MG3lZUb",AX
1.49E+18,Attack on Titan fans tomorrow https://t.co/uFt32NWwT3,AX
1.49E+18,"Biden is threatening a military response if Russia invades Ukraine and is also sending a ton of free weapons to Ukraine. Not one reporter or member of Congress has asked ""How are we going to pay for that?"".",PY
1.49E+18,Putin’s puppet government plot per UK intelligence. Traitors https://t.co/WUNENwYy1U,PY
1.49E+18,"@4GodFamilyUSA1 @spreadcommon01s @SisterWendy23 You're assuming the pastor rejected the man because he was ""unclean"". \n2 things: 1) Many Christians attack fellow Christians because of their chosen denomination, Protestant v Catholic. Which appears to be what was occurring at this Church.\n2) It is not ungodly to defend your....",AX
1.49E+18,This is the only way I would ever Attack a woman this infuriates me I would have made her let that lady go😡 https://t.co/EoKLf1aIIO,AX
1.49E+18,BREAKING: State Department orders families of U.S. embassy personnel in Ukraine to begin evacuating the country as soon as Monday: U.S. officials,DY
1.49E+18,Biden Says Russia Can Invade Ukraine So Long As They Avoid Hunter’s Oil Company\nhttps://t.co/gsZcqc0eaK,UC
1.49E+18,German navy chief resigns over Ukraine comments https://t.co/KheybEaZG5,AX
1.49E+18,https://t.co/xukDaS124h,AX
1.49E+18,@rankandfileca \n\nWe’re out of the loop\n\nhttps://t.co/qL5ApFM077,AX
1.49E+18,I wonder if this might have anything to do with Biden's decision to go on national television and invite Putin to invade Ukraine. https://t.co/BpAYs8jOTG,UC
1.49E+18,https://t.co/pJDiMestDL,AX
1.49E+18,#Russia - #Ukraine tensions: #UK warns of plot to install pro-Moscow ally https://t.co/aGOg6KHK0M,DY
1.49E+18,"Hey, listen, no one can have the world, that's why it melts.  Ukrainian general claims to know when Russia will ‘invade’ https://t.co/rW5dyT6p3Y",DY
1.49E+18,"@toni_florido @DaniSolerSEM @UOCuniversitat Discrepem en aquest punt. Hi ha una relació històrica entre vulnerabilitat geogràfica i agressivitat militar. És el cas de Rússia i també de Prússia e Israel. I no ho justifico, per aclarir, crec que la recuperació del buffer històric és un element explicatiu.",AX
1.49E+18,Manga: Attack on Titan https://t.co/N1U5RUo26Q,AX
1.49E+18,"2 patients had heart attack, 37 and 41 years old. Non-smokers. Admitted had stressful lifestyles with not enough rest.\n\nPlease have adequate sleep, ideally 6-8 hours.",AX
1.49E+18,Air attack on the #ColoradoFire earlier this morning. Looks like helicopters have an ample water supply nearby...the Pacific Ocean. https://t.co/EkLRhr6oL1,AX
1.49E+18,"Igor Fruman, who assisted Giuliani in Ukraine, was sentenced to 1 year in prison yesterday for violation of federal campaign finance laws - specifically giving cash he received from a Russian associate to US politicians.",AX
1.49E+18,"Liz Truss, the cheese lady, telling Putin what he must or must not do. Laughable.",AX
1.49E+18,"The news about Tifa's hentai during a government livestreaming is being talked about all over, but everyone thinks it was an hacking attack or something.\n\nWhat they don't know is that italian politicians actively advertised the meeting sharing the credentials to get in. https://t.co/PMep5ieaGu",AX
1.49E+18,I love that people are finally realizing how often the feds make videos or go to rallies or create accounts or somehow otherwise pretend to be “terrorists” to make a movement seem like it’s actually an attack.,AX
1.49E+18,"Não invada a Ucrânia Putin, lá tem Pripyat, lugar mó foda",AX
1.49E+18,German Navy Chief Resigns After Saying Ukraine Won’t Get\nCrimea Back And Putin ‘Probably’ Deserves Respect   https://t.co/ndzIzFR0Ji    #Diamante #Blockchain #DiamCircle,AX
1.49E+18,Germany refuses to provide Ukraine military aid.\n\nGermany negotiated and forced Ukraine to accept the Russia favourable political provisions of the Minsk Accords - a poison pill for Ukraine’s sovereignty and independence.,DY
1.49E+18,"Come for the Russian perfidy, stay for the Manafort connection.\n\nhttps://t.co/2o0RVkdQDm",AX
1.49E+18,Ukraine Intervention Order of Battle:\n\n1st Battalion (Never Trump)\nCDR: Vindman\nXO: Kinzinger\nIntel: Billet Not Filled\nChemical: Swalwell\nSubject Matter Expert: Nichols\n\n2nd Battalion (Heavy)\nStacey Abrams\n\n3rd Heavy Battalion (AWOL)\nCheney\nKristol\nThe rest of the DC hawks,DY
1.49E+18,"#SweetMeditation\n[Insomnia]\n\nWhen I fell asleep,\nthe thoughts were finally forced out of my head. \nBut those thoughts kept knocking on my head while I slept.\nWhen I open my eyes at dawn, they would invade my head again.\n\n🔗https://t.co/tGagrTV8WD\n\n#NFTCommunity #nftart #NFTs https://t.co/36s4HDQjvI",AX
1.49E+18,"What’s happening is that Republicans are replicating the illiberal states in Hungary and Russia by systematically dismantling democracy and enacting plans to control education, history, and culture in order to promote privatization and theocratic control.",AX
1.49E+18,Josuke Higashikata when his hallucination of Rai Mamezuku's ghost tells him to attack the guy that makes you explode when you attack him. https://t.co/QxrKFldqMr,AX
1.49E+18,"“We have information that indicates the Russian Government is looking to install a pro-Russian leader in Kyiv as it considers whether to invade and occupy Ukraine,” @FCDOGovUK said in a brief statement.",DY
1.49E+18,"Sad day. Classmate of mine, healthy 55 man gets the vaccine recently. Gets covid within a few weeks, dies in the hospital of heart attack&amp;stroke. How many 50 year old &amp;young men have to die of heart attacks before we wake the hell up! The vaccines are killing healthy people! 😢",AX
1.49E+18,"If the former president has no executive privilege to hide evidence of an attempted coup or insurrection, neither do his family or friends. If Ivanka Trump was with Donald Trump as the attack unfolded, she is a material fact witness. I look forward to her testimony.",AX
1.49E+18,"@DiretoFront @AFP Vish , Reino Unido atrasadinho hein 😏\nRússia tem interferência direta nos seus países satélites Pow",AX
1.49E+18,Joe Biden has now lost Afghanistan and Ukraine in less than 6 months.,DY*
1.49E+18,"A que ponto chegamos, um sujeito invade o campo de uma copa sub 20 com uma faca pra agredir um jogador rival\nInacreditável, inaceitável",AX
1.49E+18,tem que ir preso esse imbecil que invade com uma faca,AX
1.49E+18,"4.5m Canadians of Central + Eastern European heritage call on the gov't to immediately supply weapons to help Ukraine defend its sovereignty, place sanctions on kleptocrats w/ assets in Canada + create a task force to defend against cognitive warfare. https://t.co/Bd32kuhAMJ",DY
1.49E+18,"This convoy going to Trudeau's doorstep is longer than the convoy of Russian troops headed to the Ukraine border. Justin, you've got a problem on your hands. \nhttps://t.co/nRUBtSngTO",PY
1.49E+18,"@lis_de_fleur @GengivC @marcocongiu @ngiocoli Che cosa c'entra l'Italia con Russia, Ucraina e Nato. Non cambiare discorso e rimani sul pezzo se non vuoi passare per uno che non sa di cosa parla.",AX
1.49E+18,What is Joe Biden’s plan to stop Russia from invading Ukraine?,PY
1.49E+18,"Russia's purported plan to install pro-Kremlin leadership in Ukraine 'deeply concerning,' White House says\n\nhttps://t.co/vucpPLEoOG\nDeeply Concerning?",PY
1.49E+18,"@keithjunior 🤷🏻‍♂️🤷🏻‍♂️ so much uncertainty, Ukraine/Russia, pandemic, inflation rates etc. It’s not the end by any means opportunity if anything for cheaper bittys. It has before and it will bounce back again ⬆️",UC
1.49E+18,@gemmamarierose Looking very beautiful 💞💕💞💕 &amp; who attack u? Their ass is mine https://t.co/qXeGrC5TaO,AX
1.49E+18,"Breaking: The UK foreign office said in a statement on Saturday that it has information the Russian government is planning to ""install a pro-Russian leader in Kyiv as it considers whether to invade and occupy Ukraine.""",UC
1.49E+18,"#L6Ndificultades ya está Inda diciendo tonterías. Pablo Iglesias no está con Putin, está en contra de la guerra. Pero hay alguien que todavía crea a este tipo?",AX
1.49E+18,"In this interview I use 'depraved' to describe the continued prosecution of Julian #Assange. \nDepraved also describes the US/UK push to unjust and unnecessary war with Russia, which is also discussed. In a media blackout of truth, please watch.\nhttps://t.co/jcVaK1de2B",AX
1.49E+18,@MysteryGrove If they take any territory at all Mariupol will probably be first on the list - provides land connection between Crimea and Donbass. But if there is fighting I think it’s more likely that Russia will seek to destroy all Uke military capability; send strong message.,PY
1.49E+18,"Not good. We need to move beyond will they or won’t they and start talking about what the world looks like after, and how much destruction along the way. https://t.co/C631AqTEoZ",AX
1.49E+18,"Futebol é um retrato da sociedade. E nossa sociedade tá muito, mas muito doente. Que mundo é esse que um torcedor invade um campeonato de base com uma FACA em direção a um jogador? É caso pra prisão. A gente precisa repensar urgentemente essa relação com o esporte.",AX
1.49E+18,@putin_wok @kiddychris Кристине нельзя,AX
1.49E+18,"One year later, President Biden has brought us to the brink of war through weakness.\n\nHis consistent weakness on the world stage has encouraged Putin’s military aggression and endangered the territory of Ukraine.\nhttps://t.co/Rvvrc9IUDX",PY
1.49E+18,".@IgnatiusPost reports from Kiev: “The best advice I heard… Impose severe sanctions on Russia now, rather than after it has rolled into Ukraine. If Putin persists in covert actions in the West, match him.” https://t.co/uMwA0nU0y7 @PostOpinions",PY
