Num,Tweet,Label
1.4941E+18,"Yae, flirting: you’ve been fighting the puppet for years, why don’t you take off your armor and slip into something comfortable like my-\n\nEi: i am most comfortable when i’m impervious to most forms of physical attack",
1.4941E+18,"Pera, to confusa, as urnas são invioláveis e seguras ou sujeitas a ataques cibernéticos da Rússia?",
1.4941E+18,"Je me réveille, il est 4h du mat, coup d'œil sur l'actu et je constate que l'Ukraine n'est pas envahie comme annoncé aujourd'hui 16/02 à 3h du mat.\nLa fake-news reprise par toute la presse anglosaxonne et le gouvernement US jusqu’au Président Biden, rappelle le coup de l'Irak.\n😡 https://t.co/oZDity0Lah",
1.4941E+18,Apparently my ancestry has been updated as they gain access to more DNA banks. My Eastern European DNA has expanded to include half of Russia. That's pretty cool. I've always suspect I am part Russia. Now I am knowing certain. https://t.co/D7t3jFurWG,
1.4941E+18,@MuellerSheWrote @zipillinois Just wait until they find out TRUMP®️ MAKE AMERICA GREAT AGAIN®️ Trademark/Brand Paralegal went to Saratov State Law School in RUSSIA https://t.co/cymWqq7SL2,
1.4941E+18,"- ""O mundo é a nossa casa... e Deus está acima de todos nós.""\n- Jair Bolsonaro e Vladimir Putin. https://t.co/Z0aNgJ0wxZ",
1.4941E+18,"@Biakicis Preparem-se. Vão criar a narrativa de que o Presidente foi à Rússia, para tratar a invasão das urnas no Brasil. \nPodem apostar!!!!!",
1.4941E+18,Russia has launched a meme war against Joe Biden and CNN https://t.co/zYRmUcw9sG,UC
1.4941E+18,Covid is over. \n\nWar with Russia is over. \n\nMedia is trying SO hard to keep you scared https://t.co/z64HLFCwxj,DN
1.4941E+18,"@jordanbpeterson @JustinTrudeau A young Chrystia Freeland impressed Soviet Russia's KGB\nPolitics Insider for Oct. 12, 2021: The finance minister's notable past; (By Stephen Maher\nOctober 12, 2021 Macleans)",
1.4941E+18,"Putin's choice, that is. https://t.co/Sls4by5FjZ https://t.co/Ss8OkzQgh2",
1.4941E+18,First they tried to cripple the economy by blocking the border &amp; disrupting the supply chain.\n\nNow they're trying to cripple the economy by crippling banks.\n\nThe American right is trying to destroy Canada.\n\nWhy are Canadian Conservatives supporting what is clearly foreign attack? https://t.co/3OUlRuNDwz,
1.4941E+18,@BeckyQuick I thought she was talking about Russia.,
1.4941E+18,🇺🇦 #Ukraine: Suspilne to Discuss Replacement #Eurovision Participant on Friday https://t.co/Bbc1r4bYc8,
1.4941E+18,"Putin wita się z Bolsonaro jak człowiek z człowiekiem,a z Macronem siedział w odstępie 10 metrów. 🤣🤣🤣 https://t.co/Pl3Ss0u21g",
1.4941E+18,@WatcherGuru Comes quite in tandem all this “illicit #crypto activity #news” just when #Russia is supporting it. I call that grasping for straws…and propaganda. Very see through tactics!,
1.4941E+18,Senate confirms Biden Pentagon nominee with Russia expertise despite Hawley effort to slow the process. https://t.co/TpxsSXdMDR,
1.4941E+18,Bank of Russia Reports First Successful Digital Ruble Transfers Between Users – Finance Bitcoin News https://t.co/N3POa5nLRF,
1.4941E+18,Anime : Attack on Titan https://t.co/mOU7nSJUwN,
1.4941E+18,Russia did the opposite of what they said they were going to do https://t.co/Jq784xbq2g https://t.co/CNW3G9xYKV,UC
